trade_date,daily_trades,daily_total_pnl,daily_sent_score
2024-09-04,3,0.0,
2024-09-05,28,1147.595856,
2024-09-06,17,0.0,
2024-09-07,15,648.984412,
2024-09-08,144,18082.071276,
2024-09-09,2,0.0,
2024-09-10,14,396.06272,
2024-09-11,86,102.90894,
2024-09-12,539,6310.967676,
2024-10-01,193,-1517.091342,
2024-10-03,42,2482.9272,
2024-10-04,41,5207.443414,
2024-10-05,22,2101.741695,
2024-10-06,53,31.266804999999998,
2024-10-07,56,11977.734907,
2024-10-08,88,0.0,
2024-10-09,3,-219.729659,
2024-10-10,16,0.0,
2024-10-11,173,991.114334,
2024-10-12,1596,39325.770231,
2024-11-01,21,-164.08950099999998,
2024-11-02,34,983.443176,
2024-11-03,42,3588.179495,
2024-11-04,16,389.743164,
2024-11-05,9,251.604742,
2024-11-06,123,4320.631811,
2024-11-07,19,1876.812082,
2024-11-08,24,847.7766200000001,
2024-11-09,1,0.0,
2024-11-10,26,8885.327477,
2024-11-11,373,6749.630996,
2024-11-12,1221,319051.554217,
2024-12-01,7,-1925.519024,
2024-12-02,16,913.8817869999998,
2024-12-03,8,3039.166,
2024-12-04,129,-592.6458390000001,
2024-12-05,23,0.0,
2024-12-06,254,-21886.531493,
2024-12-07,19,1412.314654,
2024-12-08,48,858.6705000000001,
2024-12-10,10,541.55471,
2024-12-11,171,3494.399394,
2024-12-12,1932,599151.795008,
2025-01-01,96,-9528.065345,
2025-01-02,634,32300.205017,
2025-01-03,174,10596.108968,
2025-01-04,192,-2202.6622420000003,
2025-01-05,1230,54536.829297000004,
2025-02-01,361,8716.519087,
2025-02-02,1319,162854.759623,
2025-02-03,532,66914.320708,
2025-02-04,1076,202212.740938,
2025-03-01,508,6028.486793,
2025-03-02,2380,348871.326269,
2025-03-03,1482,616413.032233,
2025-03-04,1748,-2365.961276,
2025-04-01,371,2553.537968,
2025-04-02,2512,416876.88812,
2025-04-03,2402,182075.566585,
2025-04-04,1272,-25515.678949999998,
2025-05-01,239,3187.719363,
2025-05-02,1297,56706.235562,
2025-05-03,1660,269328.365917,
2025-05-04,360,35907.33771,
2025-06-01,573,6064.185393,
2025-06-02,1703,33803.799733,
2025-06-03,760,16101.125561,
2025-06-04,1048,47053.449272,
2025-07-01,637,16098.227531,
2025-07-02,1524,22450.002091,
2025-07-03,2552,150236.061627,
2025-07-04,2814,34527.370305,
2025-08-01,1039,130117.090554,
2025-08-02,575,586.703253,
2025-08-03,529,24700.773359,
2025-08-04,943,34899.394798,
2025-09-01,522,46975.928902,
2025-09-02,764,150551.829492,
2025-09-03,1422,19773.457395,
2025-09-04,3967,43120.444797,
2025-10-01,819,-10116.875552,
2025-10-02,889,63908.49465,
2025-10-03,2911,-10010.027269999999,
2025-10-04,2127,158261.822261,
2025-11-01,283,2269.080536,
2025-11-02,848,-6093.784817,
2025-11-03,3286,-76880.729036,
2025-11-04,1096,126406.479081,
2025-12-01,602,5742.241803,
2025-12-02,1031,19848.635032,
2025-12-03,3968,288105.984215,
2025-12-04,2109,410419.694533,
